pl_radj,pl_bmassj,pl_orbper,pl_eqt,pl_pnum,st_mass
0.33647224,0.6312718,0.8294693,7.526179,1,0.23901688
0.16551441,-1.3432349,1.4790672,6.910751,1,-0.17435342
0.064851,-0.5798185,1.0093803,7.057037,1,-0.15082288
0.25153664,-0.35667494,1.4321337,7.325149,1,0.23901688
-0.10203273,-1.7544637,1.5565376,6.9603477,1,-0.08338159
-0.09211528,-1.4396951,1.560959,6.932448,1,-0.061875407
0.12221763,-0.94160855,1.3427868,7.2154346,1,0.15700372
0.3435897,-0.26396555,1.208623,7.347944,1,0.17395337
0.32353172,0.8064759,0.3123657,7.5142546,1,0.10436003
0.29266965,-0.5191938,1.3490536,7.179308,1,-0.040822014
-0.002001977,-1.1425642,1.2015517,6.5694814,1,-0.56211895
-0.57447565,-2.1202636,1.1585512,6.9884133,1,-0.1625189
-0.13581969,-1.9805017,1.2764497,7.1884127,1,0.058268856
0.15871173,-0.20334096,0.64988,7.503704,1,0.029558774
-0.30110508,-0.967584,1.0563622,7.4248295,1,0.35065687
0.0953102,1.2556161,3.0547853,6.7844467,1,0.3435897
0.12221763,0.12221763,0.7968674,7.0920496,1,-0.23572232
0.3293037,-0.31471074,1.2598095,7.2817917,1,0.20701419
-1.9449106,-4.2057233,1.1291176,6.922644,6,-0.21072102
-2.0024805,-4.288901,1.9117001,6.6618547,6,-0.21072102
-1.8838748,-4.1483784,-0.041196045,7.466221,3,-0.15082288
-1.313044,-3.4792671,3.3960307,6.3204784,3,-0.15082288
0.0676587,1.4770488,4.7134566,5.983384,1,0.13976191
-0.491023,-2.1864033,2.4692845,6.9593987,1,0.11332869
-1.5606477,-3.506558,2.2503335,6.60504,1,-0.11653382
-1.5141277,-3.218876,2.2105246,6.60355,1,-0.21072102
-1.0700248,-2.4656925,2.960333,6.5857916,1,-0.08338159
-0.9969586,-2.36032,2.1122599,6.8037257,1,0.009950322
-1.9951004,-3.6381865,-0.55985487,7.7549105,2,-0.061875407
-1.5005835,-4.00359,2.5907445,6.6515718,2,-0.061875407
0.36464316,-0.17435342,1.1981318,7.484369,1,0.2623642
-0.7528972,-1.677235,1.5547727,7.2765565,1,0.11332869
-1.4653375,-2.9461806,2.6292775,6.461468,1,-0.30110508
-1.7719568,-3.6096988,1.6773152,7.1770186,1,-0.12783337
-0.07257069,0.2546422,1.7608892,7.0715733,1,0.009950322
-0.05975003,0.6151857,2.4328315,6.5778613,1,-0.1863296
0.10885443,-0.17435342,3.0092916,6.5250297,1,-0.1863296
0.2623642,-0.7133499,2.2164934,7.3417354,1,0.07696108
-0.21319316,-0.94933057,3.3457677,6.336826,1,-0.08338159
-2.0024805,-4.1364174,-1.2718078,7.6564674,2,-0.34249032
-1.8263509,-4.213804,1.8471942,6.562444,3,-0.43078297
-1.461018,-3.8897724,2.6282852,6.368187,3,-0.43078297
-1.7719568,-4.17209,3.7066703,5.9427996,3,-0.43078297
-1.551169,-3.6872807,3.4946764,5.4595857,2,-1.0216513
0,-0.9213033,2.413093,6.937314,1,0.17395337
0.5007753,0.47000366,0.7795818,7.5411525,1,0.24686004
0.2623642,-0.15082288,1.164606,7.369601,1,0.17395337
-2.3227878,-5.426151,1.6563215,6.2186003,3,-0.9162907
-2.419119,-5.867479,2.0509136,6.056784,3,-0.9162907
-2.3227878,-5.4992104,2.3140194,5.988961,3,-0.9162907
-1.7259717,-4.1521854,1.7974101,6.3733196,2,-0.5447272
-1.8263509,-4.2356777,3.0215464,5.963579,2,-0.5447272
-0.9162907,-2.3307788,1.9126953,6.8046145,1,-0.13926208
0.17395337,-0.31471074,1.181369,7.0656133,1,-0.061875407
0.03825875,-0.5464528,1.4106218,6.995766,1,-0.105360545
0.058268856,0.57323694,0.22940396,7.321388,1,-0.09431065
-0.7808861,-2.9582438,2.1963499,6.705639,3,-0.15082288
-1.1841702,-3.4292884,3.4568024,6.2859983,3,-0.15082288
0.0676587,0.10436003,1.097148,7.4640536,1,-0.44628716
-1.7719568,-2.8134108,1.390269,7.1560645,2,0.8064759
-1.5324769,-3.468941,2.3571708,6.7546043,2,0.8064759
-0.5798185,-2.4079456,1.5272361,7.532247,1,-0.41551542
-0.3812604,-0.85331595,1.0994952,7.2442274,1,-0.030459179
-1.5050778,-2.7027643,1.6232679,7.224025,1,0.10436003
-1.171183,-3.3644798,2.3158853,6.027053,1,-1.0216513
0.2700271,0.0953102,2.1289577,7.392125,1,0.14841996
-0.9571127,-2.28957,2.3161674,7.004882,1,0.0676587
0.2546422,-0.030459179,2.9041104,7.1518636,1,0.47000366
0.10436003,3.3043194,0.19681111,7.794352,1,0.27763176
0.33575773,-0.3871341,1.4270221,7.2276626,1,0.10436003
0.31481075,-1.6347557,1.5553045,7.4454174,1,0.36464316
0.57661337,-0.051293306,1.6157426,7.495542,1,0.46373403
0.5556078,0.24998024,0.53652644,7.5857887,1,0.21511139
0.5538851,0.2700271,1.2028042,7.4016223,1,0.72270596
0.34712952,1.011601,-0.031495728,7.805067,1,0.1906204
0.42199442,0.2700271,1.1249852,7.643483,1,0.49469626
0.45107567,0.16551441,1.0549222,7.6425242,1,0.41871032
0.30010462,0.53062826,1.4143448,7.472616,1,0.43178236
0.4446858,0.662688,0.9945065,7.505281,1,0.6729445
0.53003985,-0.10314075,1.0951374,7.508239,1,0.18232161
0.2623642,-0.6539265,2.0599656,7.1800213,2,0.35065687
0.47000366,0.3293037,1.0060474,7.6217427,1,0.5653138
0.48242617,-0.41551542,1.1768256,7.4244003,1,-0.21072102
0.6371058,1.0577903,0.39280084,8.306472,1,0.9242589
